Area Name,Postal Code,Latitude,Longitude
Kothrud          ,411038,18.498793,73.821123
Koyali          ,410501,18.714911,73.971328
Kude BK        ,410505,18.971448,73.649742
Kudje          ,411023,18.42507,73.736753
Kule          ,412108,18.56981,73.583139
Kunjirwadi          ,412201,18.499167,74.061667
Kuran          ,410511,19.176212,73.938382
Kuran BK        ,412107,18.392751,73.638904
Kuravali          ,413104,18.069105,74.705327
Kurkumbh          ,413802,18.394618,74.539874
Kurkundi          ,410505,18.850516,73.784557
Kuruli          ,410501,18.716724,73.843178
Kurungwadi          ,412213,18.278648,73.827388
Kurwande          ,410402,18.645159,73.92576
Kurwandi          ,410512,18.983217,73.879815
Kusgaon          ,412205,18.472814,73.742758
Kusgaon          ,412219,18.472814,73.742758
Kusgaon BK        ,410401,18.735617,73.426597
Kushire BK        ,410509,19.134531,73.646562
Kusur          ,410502,19.180607,73.847787
Lakhangaon          ,412406,18.961121,74.141139
Lakhewadi          ,413103,17.971624,74.947181
Landewadi          ,410503,19.014562,73.893548
Lasurna          ,413114,18.081048,74.762966
Late          ,412103,18.0772,74.409146
Lawale          ,412115,18.526711,73.704113
Lohogaon          ,411047,18.618447,73.947738
Lokmanyanagar          ,411030,18.50523,73.846194
Lonavala          ,410401,18.73059,73.426861
Lonavala Bazar        ,410401,18.645159,73.92576
Loni Bhapkar        ,413110,18.226843,74.383873
Loni Deokar        ,413132,18.204507,74.916493
Loni Dhamani        ,410510,18.892747,74.081453
Loni Kalbhor        ,412201,18.488353,74.022193
Lonikand          ,412216,18.6175,74.021667
Madanwadi          ,413130,18.28036,74.746874
Madh          ,412409,19.327244,73.840958
Madhukarnagar Patas        ,412219,18.645159,73.92576
Mahalunge Ingale        ,410501,18.758823,73.80675
Mahalunge Padwal        ,410515,19.066359,73.916206
Mahude BK        ,412206,18.16408,73.770082
Mahur          ,412311,18.185472,74.054981
Malad          ,413102,18.132282,74.57425
Malad          ,413130,18.132282,74.57425
Malawali          ,410405,18.30688,73.709537
Male          ,412108,18.373007,73.608827
Male          ,412206,18.373007,73.608827
Malegaon BK        ,413115,18.134162,74.50019
Malegaon IRR Colony      ,413115,18.110621,74.487731
Malewadi          ,412206,18.220298,74.912734
Malshiras          ,412104,18.4073,74.23334
Malthan          ,412218,18.831796,74.211741
Malthan          ,413801,18.831796,74.211741
Manappawasti          ,413110,18.105332,74.458732
Manchar          ,410503,19.002237,73.950677
Mandave          ,412409,19.349751,73.914754
Mandavgan Farata        ,412211,18.545833,74.485833
Mandhar          ,412311,18.215637,74.024504
Mandki          ,412305,18.144017,74.129863
Mandvi BK        ,411023,18.409942,73.703651
Mangalwar Peth        ,411011,18.524339,73.859208
Mangaon          ,412107,18.326908,73.50516
Mangrul          ,412410,19.05762,74.171852
Manikdoh          ,410502,19.226747,73.815439
Manjal Asani        ,412213,18.645159,73.92576
Manjari BK        ,412307,18.506296,73.984769
Manjari Farm        ,412307,18.495094,73.978982
Margasni          ,412213,18.645159,73.92576
Markal          ,412105,18.671866,73.965372
Market Yard        ,411037,18.485306,73.874227
Marunji          ,411057,18.611338,73.714842
Masulkar Colony        ,411018,18.633663,73.812866
Mavdi Kade Pathar      ,412303,18.645159,73.92576
Medad          ,413102,18.177738,74.541882
